collected_at,movie_cd,movie_nm,found,rank,reservation_rate,reservation_audi,reservation_sales,cum_audi,cum_sales,reservation_audi_delta,minutes_since_prev
2026-07-27T18:34:44,20234675,파묘,0,,,,,,,,
2026-07-27T18:47:22,20234675,파묘,0,,,,,,,,
2026-07-28T09:59:46,20262770,스파이더맨: 브랜드 뉴 데이,1,1,71.9,727139,8405759630,0,0,,
2026-07-28T10:00:23,20262770,스파이더맨: 브랜드 뉴 데이,1,1,71.9,727209,8406427380,0,0,70,1
2026-07-28T10:17:45,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.0,729876,8434403350,0,0,2667,17
2026-07-28T10:18:27,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.0,729979,8435452660,0,0,103,1
2026-07-28T10:19:54,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.0,730084,8436550010,0,0,105,1
2026-07-28T11:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.3,737948,8516960770,0,0,7864,60
2026-07-28T12:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.7,745016,8585302570,0,0,7068,60
2026-07-28T12:20:39,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.7,745177,8586977170,0,0,161,1
2026-07-28T12:22:36,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.7,745389,8589057800,0,0,212,2
2026-07-28T13:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.0,755265,8690537750,0,0,9876,57
2026-07-28T14:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.2,766300,8803969370,0,0,11035,60
2026-07-28T15:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.4,776898,8911551010,0,0,10598,60
2026-07-28T16:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.6,787917,9024584240,0,0,11019,60
2026-07-28T17:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,74.0,798878,9136849620,0,0,10961,60
2026-07-28T18:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.3,811750,9268461530,0,0,12872,60
2026-07-28T19:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.3,826557,9419848400,0,0,14807,60
2026-07-28T20:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.4,842795,9583143420,0,0,16238,60
2026-07-28T21:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.4,861128,9766437920,0,0,18333,60
2026-07-28T22:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.4,881784,9973778640,0,0,20656,60
2026-07-28T23:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.5,904462,10201925790,0,0,22678,60
2026-07-29T00:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.6,922534,10386924370,1254,17586000,18072,60
2026-07-29T01:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.7,935245,10519165650,1254,17586000,12711,60
2026-07-29T02:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.7,941475,10584209610,1254,17586000,6230,60
2026-07-29T03:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.7,944443,10615413290,1254,17586000,2968,60
2026-07-29T04:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.7,945977,10631842530,1254,17586000,1534,60
2026-07-29T05:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.7,943693,10597261930,1254,17586000,-2284,60
2026-07-29T06:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.5,938157,10534925580,1254,17586000,-5536,60
2026-07-29T07:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,73.2,922878,10392100300,1254,17586000,-15279,60
2026-07-29T08:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.8,895462,10132517010,1254,17586000,-27416,60
2026-07-29T09:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.5,875416,9953739270,1254,17586000,-20046,60
2026-07-29T10:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.3,869311,9892351030,1254,17586000,-6105,60
2026-07-29T11:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.1,861988,9803035310,1254,17586000,-7323,60
2026-07-29T12:19:33,20262770,스파이더맨: 브랜드 뉴 데이,1,1,72.0,850586,9679681330,1254,17586000,-11402,60
2026-07-29T14:29:53,20262770,스파이더맨: 브랜드 뉴 데이,1,1,71.7,837600,9524493670,1254,17586000,-12986,130
2026-07-29T15:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,71.4,823492,9395621420,1254,17586000,-14108,50
2026-07-29T16:19:32,20262770,스파이더맨: 브랜드 뉴 데이,1,1,70.9,796842,9161912150,1254,17586000,-26650,60
