date,movie_cd,movie_nm,open_dt,seat_occupancy_pct,seat_sell_ratio_pct,seat_cnt,sales_amt,sales_amt_acc,audi_cnt,audi_cnt_acc
20260107,20249255,만약에 우리,2025-12-31,15.6,18.7,351561,525383350,6196658590,54918,647869
20260107,20256396,아바타: 불과 재,2025-12-17,7.7,32.3,607398,564475290,66124867940,46668,5715842
20260107,20252432,주토피아 2,2025-11-26,8.2,14.7,276614,209239830,78500515250,22565,8157882
20260107,20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,9.9,7.3,136525,128883820,6762858980,13453,699727
20260107,20247457,신의악단,2025-12-31,13.5,4.7,88131,110968100,1423254970,11929,155281
20260107,20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,9.2,3.0,55801,47252900,3984036230,5146,419190
20260107,20256173,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,5.6,1.8,33882,15759480,602735250,1912,66362
20260107,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,9.1,1.0,19740,13649020,2100929610,1802,239386
20260107,20000089,철도원,2000-02-04,5.3,1.3,24542,12349970,24888970,1289,3634
20260107,20250482,"신비아파트 10주년 극장판: 한 번 더, 소환",2026-01-14,106.6,0.1,1191,11421000,24278400,1269,2416
20260106,20256396,아바타: 불과 재,2025-12-17,7.8,36.4,666784,620916980,65560392650,52067,5669174
20260106,20249255,만약에 우리,2025-12-31,16.6,17.1,313581,496875890,5671275240,51980,592951
20260106,20252432,주토피아 2,2025-11-26,7.6,16.4,300383,213535900,78291275420,22717,8135317
20260106,20247457,신의악단,2025-12-31,17.8,4.6,83793,132674700,1312286870,14880,143352
20260106,20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,9.3,8.4,154340,134528700,6633975160,14325,686274
20260106,20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,8.7,3.6,66531,53343400,3936783330,5792,414044
20260106,20259641,송 썽 블루,2026-01-14,100.0,0.1,2632,18424000,50393000,2632,7199
20260106,20256173,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,5.3,2.5,45688,20962300,586975770,2439,64450
20260106,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,7.9,1.3,24025,15415360,2087280590,1900,237584
20260106,20258739,극장판 주술회전: 시부야사변 X 사멸회유,2025-12-03,7.4,0.3,4954,3662800,3699593110,367,364733
20260105,20256396,아바타: 불과 재,2025-12-17,8.8,36.6,669125,708157290,64939475670,58948,5617107
20260105,20249255,만약에 우리,2025-12-31,15.5,16.8,307900,457211870,5174399350,47857,540971
20260105,20252432,주토피아 2,2025-11-26,7.9,16.6,304033,227374110,78077739520,23959,8112600
20260105,20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,9.2,8.6,157638,138911200,6499446460,14558,671949
20260105,20247457,신의악단,2025-12-31,17.1,4.2,77809,121782000,1179612170,13325,128472
20260105,20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,8.1,3.5,64757,49390150,3883439930,5216,408252
20260105,20259641,송 썽 블루,2026-01-14,94.5,0.3,4831,31969000,31969000,4567,4567
20260105,20256173,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,5.3,2.5,46234,21192400,566013470,2451,62011
20260105,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,7.4,1.3,23474,14861620,2071865230,1728,235684
20260105,20250444,코드: G 주목의 시작,2025-12-27,37.7,0.2,3441,6603000,81595500,1296,14977
20260104,20256396,아바타: 불과 재,2025-12-17,26.1,37.3,774039,2418246230,64231318380,201728,5558159
20260104,20249255,만약에 우리,2025-12-31,31.2,15.2,316067,980875160,4717187480,98665,493114
20260104,20252432,주토피아 2,2025-11-26,22.1,17.7,367808,788872580,77850365410,81230,8088641
20260104,20254219,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",2025-12-24,26.2,8.0,166887,447479390,6360535260,43686,657391
20260104,20247457,신의악단,2025-12-31,27.7,3.8,78787,213587320,1057830170,21817,115147
20260104,20259383,극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈,2025-12-24,23.5,3.8,79083,175591140,3834049780,18578,403036
20260104,20256173,스폰지밥 무비: 네모바지를 찾아서,2026-01-01,19.2,3.0,61932,108266300,544821070,11913,59560
20260104,20258808,뽀로로 극장판 스위트캐슬 대모험,2025-12-11,13.8,1.5,31298,39645420,2057003610,4325,233956
20260104,20258681,후지모토 타츠키 17-26 파트 1,2025-10-24,14.7,0.3,6967,13076070,248246790,1025,22814
20260104,20258633,후지모토 타츠키 17-26 파트 2,2025-10-24,13.7,0.4,7465,13273740,252398900,1021,22776
20260103,20256396,아바타: 불과 재,2025-12-17,31.6,38.1,824817,3136319700,61813072150,260785,5356431
20260103,20249255,만약에 우리,2025-12-31,31.0,15.0,325190,999014170,3736312320,100809,394449
20260103,20252432,주토피아 2,2025-11-26,25.4,17.9,387098,958562790,77061492830,98413,8007411
