batch_id,date,movie_cd,movie_nm,open_dt,day_offset,seat_sell_ratio_pct,seat_occupancy_pct,seat_cnt,sales_amt,sales_amt_acc,audi_cnt,audi_cnt_acc
pg15_2025,20250430,20246318,해피엔드,20250430,0,36.9,0.7,16084,46554700,87709300,5935,9368
pg15_2025,20250501,20246318,해피엔드,20250430,1,29.8,0.6,16051,44955900,132665200,4782,14150
pg15_2025,20250502,20246318,해피엔드,20250430,2,26.9,0.7,16763,44614000,177279200,4516,18666
pg15_2025,20250503,20246318,해피엔드,20250430,3,23.5,0.7,17820,41519160,218798360,4182,22848
pg15_2025,20250504,20246318,해피엔드,20250430,4,24.6,0.6,16678,40966800,259765160,4103,26951
pg15_2025,20250505,20246318,해피엔드,20250430,5,27.2,0.7,18191,49756100,309521260,4954,31905
pg15_2025,20250506,20246318,해피엔드,20250430,6,25.2,0.8,18444,46156500,355677760,4650,36555
pg15_2025,20250507,20246318,해피엔드,20250430,7,16.9,1.1,20831,33167300,388845060,3521,40076
pg15_2025,20250508,20246318,해피엔드,20250430,8,13.6,1.2,22807,28830400,417675460,3110,43186
pg15_2025,20250509,20246318,해피엔드,20250430,9,17.4,1.2,25441,43229800,460905260,4422,47608
pg15_2025,20250510,20246318,해피엔드,20250430,10,19.5,1.2,28124,56450200,517355460,5495,53103
pg15_2025,20250511,20246318,해피엔드,20250430,11,19.3,1.2,26102,49960260,567315720,5034,58137
pg15_2025,20250512,20246318,해피엔드,20250430,12,8.7,1.7,30618,25146900,592462620,2652,60789
pg15_2025,20250513,20246318,해피엔드,20250430,13,8.0,1.8,30786,23536800,615999420,2465,63254
pg15_2025,20250514,20246318,해피엔드,20250430,14,9.2,1.8,33281,29036400,645035820,3068,66322
pg15_2025,20250515,20246318,해피엔드,20250430,15,9.9,2.0,36591,33626760,678662580,3625,69947
pg15_2025,20250516,20246318,해피엔드,20250430,16,8.4,1.9,37876,32103000,710765580,3182,73129
pg15_2025,20250517,20246318,해피엔드,20250430,17,18.2,0.9,19240,34954700,745720280,3493,76622
pg15_2025,20250518,20246318,해피엔드,20250430,18,16.7,0.9,19232,31908500,777628780,3220,79842
pg15_2025,20250519,20246318,해피엔드,20250430,19,7.0,1.3,22822,15273200,792901980,1586,81428
pg15_2025,20250520,20246318,해피엔드,20250430,20,6.0,1.3,23414,13429800,806331780,1396,82824
pg15_2025,20251119,20257161,국보,20251119,0,10.6,4.9,90394,86754260,141162440,9569,14184
pg15_2025,20251120,20257161,국보,20251119,1,7.9,4.8,85769,60792500,201954940,6746,20930
pg15_2025,20251121,20257161,국보,20251119,2,10.8,4.6,89478,91689980,293644920,9700,30630
pg15_2025,20251122,20257161,국보,20251119,3,16.1,4.3,92401,145137410,438782330,14908,45538
pg15_2025,20251123,20257161,국보,20251119,4,14.1,4.4,91074,124703920,563486250,12792,58330
pg15_2025,20251124,20257161,국보,20251119,5,7.4,5.4,89406,61321850,624808100,6639,64969
pg15_2025,20251125,20257161,국보,20251119,6,7.6,5.6,92944,64282510,689090610,7047,72016
pg15_2025,20251126,20257161,국보,20251119,7,17.2,2.6,53874,71316300,760406910,9251,81267
pg15_2025,20251127,20257161,국보,20251119,8,11.9,2.7,55656,59007400,819414310,6596,87863
pg15_2025,20251128,20257161,국보,20251119,9,14.0,2.6,58336,77057700,896472010,8171,96034
pg15_2025,20251129,20257161,국보,20251119,10,22.3,1.9,44616,99041300,995513310,9963,105997
pg15_2025,20251130,20257161,국보,20251119,11,21.3,1.9,43743,90041680,1085554990,9329,115326
pg15_2025,20251201,20257161,국보,20251119,12,8.4,3.1,62603,47791820,1133346810,5250,120576
pg15_2025,20251202,20257161,국보,20251119,13,8.2,3.2,62922,46754660,1180101470,5142,125718
pg15_2025,20251203,20257161,국보,20251119,14,8.9,1.5,33727,27974800,1208076270,2996,128714
pg15_2025,20251204,20257161,국보,20251119,15,9.0,1.4,30777,25981700,1234057970,2758,131472
pg15_2025,20251205,20257161,국보,20251119,16,10.1,1.5,33710,34165300,1268223270,3390,134862
pg15_2025,20251206,20257161,국보,20251119,17,22.2,0.8,20376,45853020,1314076290,4515,139377
pg15_2025,20251207,20257161,국보,20251119,18,23.8,0.8,19196,45777560,1359853850,4577,143954
