batch_id,date,movie_cd,movie_nm,open_dt,day_offset,seat_sell_ratio_pct,seat_occupancy_pct,seat_cnt,sales_amt,sales_amt_acc,audi_cnt,audi_cnt_acc
r18_2025,20251016,20246253,보이 킬스 월드,20251016,0,2.6,0.1,2247,532500,532500,58,58
r18_2025,20251017,20246253,보이 킬스 월드,20251016,1,1.9,0.1,1865,341500,874000,35,93
r18_2025,20251018,20246253,보이 킬스 월드,20251016,2,2.4,0.1,1808,417300,1291300,43,136
r18_2025,20251019,20246253,보이 킬스 월드,20251016,3,2.3,0.1,1956,484100,1775400,45,181
r18_2025,20251020,20246253,보이 킬스 월드,20251016,4,2.2,0.1,1910,331000,2106400,41,222
r18_2025,20251021,20246253,보이 킬스 월드,20251016,5,1.8,0.1,1647,281000,2387400,29,251
r18_2025,20251022,20246253,보이 킬스 월드,20251016,6,2.8,0.0,177,55500,2442900,5,256
r18_2025,20250115,20248508,노스페라투,20250115,0,4.6,4.2,82696,37638400,48772400,3822,4948
r18_2025,20250116,20248508,노스페라투,20250115,1,3.3,3.3,64621,20889200,69661600,2133,7081
r18_2025,20250117,20248508,노스페라투,20250115,2,3.5,3.4,71406,25767800,95429400,2496,9577
r18_2025,20250118,20248508,노스페라투,20250115,3,6.8,2.5,59793,42840800,138270200,4074,13651
r18_2025,20250119,20248508,노스페라투,20250115,4,5.4,2.4,54557,30850900,169121100,2964,16615
r18_2025,20250120,20248508,노스페라투,20250115,5,2.6,3.3,57594,14838800,183959900,1520,18135
r18_2025,20250121,20248508,노스페라투,20250115,6,2.7,3.2,56859,14964100,198924000,1538,19673
r18_2025,20250122,20248508,노스페라투,20250115,7,4.6,0.4,7204,3185200,202109200,331,20004
r18_2025,20250123,20248508,노스페라투,20250115,8,6.0,0.4,8346,4941100,207050300,501,20505
r18_2025,20250124,20248508,노스페라투,20250115,9,9.5,0.2,3827,3887500,210937800,364,20869
r18_2025,20250125,20248508,노스페라투,20250115,10,16.0,0.2,4187,7423100,218360900,669,21538
r18_2025,20250126,20248508,노스페라투,20250115,11,14.5,0.2,4622,7233600,225594500,672,22210
r18_2025,20250127,20248508,노스페라투,20250115,12,21.0,0.1,2929,6921600,232516100,614,22824
r18_2025,20250128,20248508,노스페라투,20250115,13,14.6,0.1,2640,4355600,236871700,385,23209
r18_2025,20250129,20248508,노스페라투,20250115,14,9.8,0.1,1942,2167800,239039500,191,23400
r18_2025,20250130,20248508,노스페라투,20250115,15,10.3,0.1,2147,2483700,241523200,221,23621
r18_2025,20250131,20248508,노스페라투,20250115,16,11.9,0.1,2505,2408800,243932000,297,23918
r18_2025,20250201,20248508,노스페라투,20250115,17,10.3,0.1,2232,2447400,246379400,229,24147
r18_2025,20250202,20248508,노스페라투,20250115,18,10.8,0.1,2166,2702600,249082000,234,24381
r18_2025,20250203,20248508,노스페라투,20250115,19,6.1,0.1,1789,1104300,250186300,109,24490
r18_2025,20250204,20248508,노스페라투,20250115,20,6.2,0.1,1627,1010700,251197000,101,24591
r18_2025,20250806,20248711,발레리나,20250806,0,15.5,11.9,279492,404159440,502895440,43395,52175
r18_2025,20250807,20248711,발레리나,20250806,1,9.6,11.4,267228,244067220,746962660,25629,77804
r18_2025,20250808,20248711,발레리나,20250806,2,10.9,10.4,249911,273900320,1020862980,27267,105071
r18_2025,20250809,20248711,발레리나,20250806,3,21.4,8.6,216720,475571550,1496434530,46277,151348
r18_2025,20250810,20248711,발레리나,20250806,4,18.1,8.2,197841,365076940,1861511470,35844,187192
r18_2025,20250811,20248711,발레리나,20250806,5,6.9,9.8,210419,144233060,2005744530,14612,201804
r18_2025,20250812,20248711,발레리나,20250806,6,6.9,9.8,211957,141559160,2147303690,14706,216510
r18_2025,20250813,20248711,발레리나,20250806,7,7.2,5.4,121493,85916700,2233220390,8780,225290
r18_2025,20250814,20248711,발레리나,20250806,8,9.3,5.4,128724,116711770,2349932160,11948,237238
r18_2025,20250815,20248711,발레리나,20250806,9,19.0,3.9,100513,196316400,2546248560,19142,256380
r18_2025,20250816,20248711,발레리나,20250806,10,18.0,4.0,100784,186195060,2732443620,18151,274531
r18_2025,20250817,20248711,발레리나,20250806,11,13.0,4.0,95043,126387710,2858831330,12350,286881
r18_2025,20250818,20248711,발레리나,20250806,12,5.4,5.2,105615,54797000,2913628330,5658,292539
r18_2025,20250819,20248711,발레리나,20250806,13,5.1,5.2,104168,51198500,2964826830,5271,297810
r18_2025,20250820,20248711,발레리나,20250806,14,5.3,4.8,96558,50606800,3015433630,5155,302965
r18_2025,20250821,20248711,발레리나,20250806,15,5.1,4.9,98168,48354140,3063787770,4975,307940
r18_2025,20250822,20248711,발레리나,20250806,16,9.6,0.8,16186,15476500,3079264270,1557,309497
r18_2025,20250823,20248711,발레리나,20250806,17,19.9,0.6,12492,25103700,3104367970,2481,311978
r18_2025,20250824,20248711,발레리나,20250806,18,16.8,0.6,12579,21898300,3126266270,2118,314096
r18_2025,20250825,20248711,발레리나,20250806,19,6.9,0.8,14883,10060500,3136326770,1024,315120
r18_2025,20250826,20248711,발레리나,20250806,20,7.7,0.9,17142,13008000,3149334770,1317,316437
r18_2025,20250312,20249564,노보케인,20250312,0,5.7,7.0,126346,61358300,67721300,7200,7907
r18_2025,20250313,20249564,노보케인,20250312,1,3.5,6.2,112096,33313400,101034700,3881,11788
r18_2025,20250314,20249564,노보케인,20250312,2,3.7,5.6,109561,36936200,137970900,4054,15842
r18_2025,20250315,20249564,노보케인,20250312,3,4.5,4.6,101213,43268800,181239700,4509,20351
r18_2025,20250316,20249564,노보케인,20250312,4,4.4,4.0,83710,35311700,216551400,3659,24010
r18_2025,20250317,20249564,노보케인,20250312,5,2.3,4.6,75578,16094700,232646100,1766,25776
r18_2025,20250318,20249564,노보케인,20250312,6,2.9,4.4,72552,18550100,251196200,2122,27898
r18_2025,20250319,20249564,노보케인,20250312,7,3.6,0.5,9909,2857900,254054100,352,28250
r18_2025,20250320,20249564,노보케인,20250312,8,2.8,0.4,8150,1794000,255848100,225,28475
r18_2025,20250321,20249564,노보케인,20250312,9,3.4,0.3,6482,1941500,257789600,222,28697
r18_2025,20250322,20249564,노보케인,20250312,10,6.3,0.2,3954,2020100,259809700,247,28944
r18_2025,20250323,20249564,노보케인,20250312,11,5.3,0.2,3583,1614800,261424500,191,29135
r18_2025,20250324,20249564,노보케인,20250312,12,2.2,0.2,2960,594000,262018500,66,29201
r18_2025,20250325,20249564,노보케인,20250312,13,1.8,0.3,4672,760400,262778900,86,29287
r18_2025,20250326,20249564,노보케인,20250312,14,4.8,0.0,83,24000,262802900,4,29291
r18_2025,20250327,20249564,노보케인,20250312,15,3.6,0.0,83,19000,262821900,3,29294
r18_2025,20250329,20249564,노보케인,20250312,17,2.8,0.0,36,6000,262827900,1,29295
r18_2025,20250330,20249564,노보케인,20250312,18,4.3,0.0,47,12000,262839900,2,29297
r18_2025,20260304,20250413,다이 마이 러브,20260304,0,9.3,1.2,23299,17508600,17508600,2164,2164
r18_2025,20260305,20250413,다이 마이 러브,20260304,1,7.3,1.2,20960,11753000,29261600,1519,3683
r18_2025,20260306,20250413,다이 마이 러브,20260304,2,7.4,0.9,18054,12721900,41983500,1343,5026
r18_2025,20260307,20250413,다이 마이 러브,20260304,3,13.4,0.6,13291,18404000,60387500,1782,6808
r18_2025,20260308,20250413,다이 마이 러브,20260304,4,10.5,0.6,11760,13136300,73523800,1235,8043
r18_2025,20260309,20250413,다이 마이 러브,20260304,5,3.4,0.9,15951,4835300,78359100,540,8583
r18_2025,20260310,20250413,다이 마이 러브,20260304,6,5.0,0.9,15661,6489900,84849000,782,9365
r18_2025,20260311,20250413,다이 마이 러브,20260304,7,14.2,0.5,8610,7570000,92419000,1220,10585
r18_2025,20260312,20250413,다이 마이 러브,20260304,8,11.9,0.4,7166,5621000,98040000,849,11434
r18_2025,20260313,20250413,다이 마이 러브,20260304,9,10.2,0.4,8046,5915000,103955000,821,12255
r18_2025,20260314,20250413,다이 마이 러브,20260304,10,9.8,0.2,5587,5396900,109351900,548,12803
r18_2025,20260315,20250413,다이 마이 러브,20260304,11,14.6,0.3,5693,6273100,115625000,832,13635
r18_2025,20260316,20250413,다이 마이 러브,20260304,12,2.7,0.4,6482,1811900,117436900,177,13812
r18_2025,20260317,20250413,다이 마이 러브,20260304,13,3.0,0.4,7597,2226100,119663000,225,14037
r18_2025,20260318,20250413,다이 마이 러브,20260304,14,3.8,0.1,2577,930000,120593000,98,14135
r18_2025,20260319,20250413,다이 마이 러브,20260304,15,3.5,0.2,3035,942300,121535300,106,14241
r18_2025,20260320,20250413,다이 마이 러브,20260304,16,3.4,0.1,2205,804400,122339700,74,14315
r18_2025,20260321,20250413,다이 마이 러브,20260304,17,3.9,0.1,2064,810300,123150000,81,14396
r18_2025,20260322,20250413,다이 마이 러브,20260304,18,3.5,0.1,2438,882300,124032300,86,14482
r18_2025,20260323,20250413,다이 마이 러브,20260304,19,3.2,0.1,1897,611300,124643600,60,14542
r18_2025,20260324,20250413,다이 마이 러브,20260304,20,3.1,0.1,2276,691000,125334600,70,14612
r18_2025,20260128,20250686,하우스메이드,20260128,0,8.5,5.6,109698,72408160,95159160,9297,11710
r18_2025,20260129,20250686,하우스메이드,20260128,1,5.9,5.8,107532,56415770,151574930,6330,18040
r18_2025,20260130,20250686,하우스메이드,20260128,2,6.1,5.9,115058,65343500,216918430,7059,25099
r18_2025,20260131,20250686,하우스메이드,20260128,3,9.8,5.6,123957,115330310,332248740,12160,37259
r18_2025,20260201,20250686,하우스메이드,20260128,4,8.0,5.5,114737,89171680,421420420,9199,46458
r18_2025,20260202,20250686,하우스메이드,20260128,5,4.1,6.4,109946,41418400,462838820,4477,50935
r18_2025,20260203,20250686,하우스메이드,20260128,6,4.2,6.2,109014,41775220,504614040,4573,55508
r18_2025,20260204,20250686,하우스메이드,20260128,7,4.2,1.8,35553,14771600,519385640,1509,57017
r18_2025,20260205,20250686,하우스메이드,20260128,8,4.1,1.7,33330,13411700,532797340,1372,58389
r18_2025,20260206,20250686,하우스메이드,20260128,9,5.8,1.5,31530,18810960,551608300,1825,60214
r18_2025,20260207,20250686,하우스메이드,20260128,10,9.3,1.0,23546,22941200,574549500,2191,62405
r18_2025,20260208,20250686,하우스메이드,20260128,11,7.0,1.0,20751,15210420,589759920,1461,63866
r18_2025,20260209,20250686,하우스메이드,20260128,12,5.4,1.3,25082,12947500,602707420,1359,65225
r18_2025,20260210,20250686,하우스메이드,20260128,13,7.8,1.4,26913,19306600,622014020,2104,67329
r18_2025,20260211,20250686,하우스메이드,20260128,14,9.8,0.0,266,255000,622269020,26,67355
r18_2025,20260212,20250686,하우스메이드,20260128,15,9.9,0.0,262,244500,622513520,26,67381
r18_2025,20260213,20250686,하우스메이드,20260128,16,21.8,0.0,354,873300,623386820,77,67458
r18_2025,20260214,20250686,하우스메이드,20260128,17,68.4,0.0,174,1320870,624707690,119,67577
r18_2025,20260215,20250686,하우스메이드,20260128,18,53.5,0.0,174,1029900,625737590,93,67670
r18_2025,20260216,20250686,하우스메이드,20260128,19,24.9,0.0,349,954100,626691690,87,67757
r18_2025,20260217,20250686,하우스메이드,20260128,20,55.8,0.0,174,1088500,627780190,97,67854
r18_2025,20250319,20251552,컴패니언,20250319,0,3.6,3.0,56327,19388200,40821800,2021,4177
r18_2025,20250320,20251552,컴패니언,20250319,1,3.4,3.1,55671,18006400,58828200,1916,6093
r18_2025,20250321,20251552,컴패니언,20250319,2,3.9,2.2,46136,17501600,76329800,1802,7895
r18_2025,20250322,20251552,컴패니언,20250319,3,7.2,1.8,42930,31655000,107984800,3099,10994
r18_2025,20250323,20251552,컴패니언,20250319,4,6.0,1.8,40278,24185000,132169800,2400,13394
r18_2025,20250324,20251552,컴패니언,20250319,5,3.2,2.4,40626,12148900,144318700,1286,14680
r18_2025,20250325,20251552,컴패니언,20250319,6,3.2,2.5,41145,12446800,156765500,1312,15992
r18_2025,20250326,20251552,컴패니언,20250319,7,6.6,0.3,5559,2922800,159688300,368,16360
r18_2025,20250327,20251552,컴패니언,20250319,8,4.7,0.3,6078,2706200,162394500,288,16648
r18_2025,20250328,20251552,컴패니언,20250319,9,5.8,0.3,6231,3614300,166008800,362,17010
r18_2025,20250329,20251552,컴패니언,20250319,10,10.1,0.2,5629,5584700,171593500,566,17576
r18_2025,20250330,20251552,컴패니언,20250319,11,6.8,0.2,4269,2868300,174461800,292,17868
r18_2025,20250331,20251552,컴패니언,20250319,12,4.2,0.3,5825,2297400,176759200,245,18113
r18_2025,20250401,20251552,컴패니언,20250319,13,4.8,0.3,5170,2299100,179058300,247,18360
r18_2025,20250402,20251552,컴패니언,20250319,14,3.9,0.1,1458,575800,179634100,57,18417
r18_2025,20250403,20251552,컴패니언,20250319,15,5.9,0.1,1750,982000,180616100,104,18521
r18_2025,20250404,20251552,컴패니언,20250319,16,6.1,0.1,1240,734500,181350600,76,18597
r18_2025,20250405,20251552,컴패니언,20250319,17,6.9,0.1,1446,1083000,182433600,100,18697
r18_2025,20250406,20251552,컴패니언,20250319,18,8.2,0.1,1591,1317000,183750600,131,18828
r18_2025,20250407,20251552,컴패니언,20250319,19,5.1,0.1,1660,833700,184584300,84,18912
r18_2025,20250408,20251552,컴패니언,20250319,20,4.4,0.1,1629,646700,185231000,71,18983
r18_2025,20250212,20251800,브루탈리스트,20250212,0,9.0,2.6,55090,46524000,90528000,4952,7936
r18_2025,20250213,20251800,브루탈리스트,20250212,1,6.2,2.5,53438,30724700,121252700,3299,11235
r18_2025,20250214,20251800,브루탈리스트,20250212,2,7.3,2.1,49197,35230700,156483400,3572,14807
r18_2025,20250215,20251800,브루탈리스트,20250212,3,13.4,1.9,46720,64566900,221050300,6279,21086
